PatchID,X,Y,SubpatchNO,K,K StDev,N0,Natal Grounds,Migration Out Grounds,Genes Initialize,Class Vars,Mortality Out %,Mortality Out StDev,Mortality Back,Mortality Back StDev,Mortality Eggs,Mortality Eggs StDev,Migration Out Prob,Set Migration Out,Migration Back Prob,Straying Prob,Dispersal Prob,GrowthTemperatureOut,GrowthTemperatureOutStDev,GrowDaysOut,GrowDaysOutStDev,GrowthTemperatureBack,GrowthTemperatureBackStDev,GrowDaysBack,GrowDaysBackStDev,Capture Probability Out,Capture Probability Back,HabitatOut,HabitatBack,Fitness_AA,Fitness_Aa,Fitness_aa,Fitness_BB,Fitness_Bb,Fitness_bb,Fitness_AABB,Fitness_AaBB,Fitness_aaBB,Fitness_AABb,Fitness_AaBb,Fitness_aaBb,Fitness_AAbb,Fitness_Aabb,Fitness_aabb,comp_coef
1,476383.9269,162581.176,1,1000,0,50,1,0,random,classvars_natal.csv,1,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,476887.9179,161793.5164,1,1000,0,50,1,0,random,classvars_natal.csv,1,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,477541.7632,161108.6767,1,1000,0,50,1,0,random,classvars_natal.csv,1,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,477718.5984,160208.4678,1,1000,0,50,1,0,random,classvars_natal.csv,1,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,477953.2418,159320.0728,1,1000,0,50,1,0,random,classvars_natal.csv,1,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,478378.9174,158530.5835,1,1000,0,50,1,0,random,classvars_natal.csv,1,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,478678.2217,157644.6973,1,1000,0,50,1,0,random,classvars_natal.csv,1,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,479187.7991,156898.2157,1,1000,0,50,1,0,random,classvars_natal.csv,1,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,479227.1821,155982.4835,1,1000,0,50,1,0,random,classvars_natal.csv,1,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,479235.797,155056.3362,1,1000,0,50,1,0,random,classvars_natal.csv,1,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,479628.7842,154239.9633,1,10000000,0,0,0,1,random,classvars_natal.csv,N,0,1,0,0,0,0,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
