Allele List,Frequency
L0AA,0
L0Aa,1
L0A3,0
L0A4,0
L0A5,0
L0A6,0
L0A7,0
L0A8,0
L0A9,0
L0A10,0
L0A11,0
L0A12,0
L0A13,0
L0A14,0
L0A15,0
L0A16,0
L0A17,0
L0A18,0
L0A19,0
L0A20,0
L1A1,0.5
L1A2,0.5
L1A3,0
L1A4,0
L1A5,0
L1A6,0
L1A7,0
L1A8,0
L1A9,0
L1A10,0
L1A11,0
L1A12,0
L1A13,0
L1A14,0
L1A15,0
L1A16,0
L1A17,0
L1A18,0
L1A19,0
L1A20,0
L2A1,0.05
L2A2,0.05
L2A3,0.05
L2A4,0.05
L2A5,0.05
L2A6,0.05
L2A7,0.05
L2A8,0.05
L2A9,0.05
L2A10,0.05
L2A11,0.05
L2A12,0.05
L2A13,0.05
L2A14,0.05
L2A15,0.05
L2A16,0.05
L2A17,0.05
L2A18,0.05
L2A19,0.05
L2A20,0.05
L3A1,0.05
L3A2,0.05
L3A3,0.05
L3A4,0.05
L3A5,0.05
L3A6,0.05
L3A7,0.05
L3A8,0.05
L3A9,0.05
L3A10,0.05
L3A11,0.05
L3A12,0.05
L3A13,0.05
L3A14,0.05
L3A15,0.05
L3A16,0.05
L3A17,0.05
L3A18,0.05
L3A19,0.05
L3A20,0.05
L4A1,0.05
L4A2,0.05
L4A3,0.05
L4A4,0.05
L4A5,0.05
L4A6,0.05
L4A7,0.05
L4A8,0.05
L4A9,0.05
L4A10,0.05
L4A11,0.05
L4A12,0.05
L4A13,0.05
L4A14,0.05
L4A15,0.05
L4A16,0.05
L4A17,0.05
L4A18,0.05
L4A19,0.05
L4A20,0.05
L5A1,0.05
L5A2,0.05
L5A3,0.05
L5A4,0.05
L5A5,0.05
L5A6,0.05
L5A7,0.05
L5A8,0.05
L5A9,0.05
L5A10,0.05
L5A11,0.05
L5A12,0.05
L5A13,0.05
L5A14,0.05
L5A15,0.05
L5A16,0.05
L5A17,0.05
L5A18,0.05
L5A19,0.05
L5A20,0.05
L6A1,0.05
L6A2,0.05
L6A3,0.05
L6A4,0.05
L6A5,0.05
L6A6,0.05
L6A7,0.05
L6A8,0.05
L6A9,0.05
L6A10,0.05
L6A11,0.05
L6A12,0.05
L6A13,0.05
L6A14,0.05
L6A15,0.05
L6A16,0.05
L6A17,0.05
