Allele List,Frequency
L0A0,0.0005
L0A1,0.9995
L0A2,0.0000
L0A3,0.0000
L0A4,0.0000
L1A0,0.2000
L1A1,0.2000
L1A2,0.2000
L1A3,0.2000
L1A4,0.2000
L2A0,0.2000
L2A1,0.2000
L2A2,0.2000
L2A3,0.2000
L2A4,0.2000
L3A0,0.2000
L3A1,0.2000
L3A2,0.2000
L3A3,0.2000
L3A4,0.2000
L4A0,0.2000
L4A1,0.2000
L4A2,0.2000
L4A3,0.2000
L4A4,0.2000
L5A0,0.2000
L5A1,0.2000
L5A2,0.2000
L5A3,0.2000
L5A4,0.2000
L6A0,0.2000
L6A1,0.2000
L6A2,0.2000
L6A3,0.2000
L6A4,0.2000
L7A0,0.2000
L7A1,0.2000
L7A2,0.2000
L7A3,0.2000
L7A4,0.2000
L8A0,0.2000
L8A1,0.2000
L8A2,0.2000
L8A3,0.2000
L8A4,0.2000
L9A0,0.2000
L9A1,0.2000
L9A2,0.2000
L9A3,0.2000
L9A4,0.2000
